Image/Font.txt
TYPE	NAME	POS_X	POS_Y	SIZE_X	SIZE_Y	Anch_X	Anch_Y
1	!	0	0	8	16	0	0
1	"	8	0	8	16	0	0
1	бр	16	0	8	16	0	0
1	$	24	0	8	16	0	0
1	%	32	0	8	16	0	0
1	&	40	0	8	16	0	0
1		48	0	8	16	0	0
1	(	56	0	8	16	0	0
1	)	64	0	8	16	0	0
1	*	72	0	8	16	0	0
1	+	80	0	8	16	0	0
1	,	88	0	8	16	0	0
1	-	96	0	8	16	0	0
1	.	104	0	8	16	0	0
1	/	112	0	8	16	0	0
1	0	120	0	8	16	0	0
1	1	128	0	8	16	0	0
1	2	136	0	8	16	0	0
1	3	144	0	8	16	0	0
1	4	152	0	8	16	0	0
1	5	160	0	8	16	0	0
1	6	168	0	8	16	0	0
1	7	176	0	8	16	0	0
1	8	184	0	8	16	0	0
1	9	192	0	8	16	0	0
1	:	200	0	8	16	0	0
1	;	208	0	8	16	0	0
1	<	216	0	8	16	0	0
1	=	224	0	8	16	0	0
1	>	232	0	8	16	0	0
1	?	240	0	8	16	0	0
1	@	248	0	8	16	0	0
							
1	A	0	16	8	16	0	0
1	B	8	16	8	16	0	0
1	C	16	16	8	16	0	0
1	D	24	16	8	16	0	0
1	E	32	16	8	16	0	0
1	F	40	16	8	16	0	0
1	G	48	16	8	16	0	0
1	H	56	16	8	16	0	0
1	I	64	16	8	16	0	0
1	J	72	16	8	16	0	0
1	K	80	16	8	16	0	0
1	L	88	16	8	16	0	0
1	M	96	16	8	16	0	0
1	N	104	16	8	16	0	0
1	O	112	16	8	16	0	0
1	P	120	16	8	16	0	0
1	Q	128	16	8	16	0	0
1	R	136	16	8	16	0	0
1	S	144	16	8	16	0	0
1	T	152	16	8	16	0	0
1	U	160	16	8	16	0	0
1	V	168	16	8	16	0	0
1	W	176	16	8	16	0	0
1	X	184	16	8	16	0	0
1	Y	192	16	8	16	0	0
1	Z	200	16	8	16	0	0
1	[	208	16	8	16	0	0
1	\	216	16	8	16	0	0
1	]	224	16	8	16	0	0
1	^	232	16	8	16	0	0
1	_	240	16	8	16	0	0
1		248	16	8	16	0	0
							
1	a	0	32	8	17	0	0
1	b	8	32	8	17	0	0
1	c	16	32	8	17	0	0
1	d	24	32	8	17	0	0
1	e	32	32	8	17	0	0
1	f	40	32	8	17	0	0
1	g	48	32	8	17	0	0
1	h	56	32	8	17	0	0
1	i	64	32	8	17	0	0
1	j	72	32	8	17	0	0
1	k	80	32	8	17	0	0
1	l	88	32	8	17	0	0
1	m	96	32	8	17	0	0
1	n	104	32	8	17	0	0
1	o	112	32	8	17	0	0
1	p	120	32	8	17	0	0
1	q	128	32	8	17	0	0
1	r	136	32	8	17	0	0
1	s	144	32	8	17	0	0
1	t	152	32	8	17	0	0
1	u	160	32	8	17	0	0
1	v	168	32	8	17	0	0
1	w	176	32	8	17	0	0
1	x	184	32	8	17	0	0
1	y	192	32	8	17	0	0
1	z	200	32	8	17	0	0
1	{	208	32	8	17	0	0
1	|	216	32	8	17	0	0
1	}	224	32	8	17	0	0
1	"	232	32	8	17	0	0
1	в╪	240	32	8	17	0	0
1	 	248	32	8	17	0	0
							
2	A	0	65	16	16	0	0
2	B	16	65	16	16	0	0
2	C	32	65	16	16	0	0
2	D	48	65	16	16	0	0
2	E	64	65	16	16	0	0
2	F	80	65	16	16	0	0
2	G	96	65	16	16	0	0
2	H	112	65	16	16	0	0
2	I	128	65	16	16	0	0
2	J	144	65	16	16	0	0
2	K	160	65	16	16	0	0
2	L	176	65	16	16	0	0
2	M	192	65	16	16	0	0
2	N	208	65	16	16	0	0
2	O	224	65	16	16	0	0
2	P	240	65	16	16	0	0
2	Q	0	81	16	16	0	0
2	R	16	81	16	16	0	0
2	S	32	81	16	16	0	0
2	T	48	81	16	16	0	0
2	U	64	81	16	16	0	0
2	V	80	81	16	16	0	0
2	W	96	81	16	16	0	0
2	X	112	81	16	16	0	0
2	Y	128	81	16	16	0	0
2	Z	144	81	16	16	0	0
							
3	0	1	130	32	60	0	0
3	1	32	130	32	60	0	0
3	2	64	130	32	60	0	0
3	3	96	130	32	60	0	0
3	4	128	130	32	60	0	0
3	5	160	130	32	60	0	0
3	6	192	130	32	60	0	0
3	7	224	130	32	60	0	0
3	8	1	195	32	60	0	0
3	9	32	195	32	60	0	0
							
4	St	64	195	25	25	0.5	0.5
4	Rd	95	195	25	25	0.5	0.5
4	Nd	64	227	30	25	0.5	0.5
4	Th	95	227	25	25	0.5	0.5
4	X_	230	242	14	14	0.5	0.5
4	O_	242	242	14	14	0.5	0.5
